院系,組別代碼,總計_人數,總計_男,總計_女,一年級_男,一年級_女,二年級_男,二年級_女,三年級_男,三年級_女,四年級_男,四年級_女,五年級_男,五年級_女,六年級_男,六年級_女,七年級_男,七年級_女,延修生_男,延修生_女
大學日間部,0000,16822,9355,7467,2121,1728,2166,1712,2109,1706,2041,1587,182,137,151,85,1,0,585,511
文學院,1000,2085,724,1361,326,158,302,167,151,299,161,284,0,0,0,0,0,0,87,150
中國文學系,1010,259,85,174,35,21,39,19,15,42,18,34,0,0,0,0,0,0,12,24
中國文學系國際學生學士班,1011,36,9,27,2,1,5,3,4,1,3,6,0,0,0,0,0,0,2,4
外國語文學系,1020,541,147,394,95,27,88,36,93,34,83,35,0,0,0,0,0,0,15,35
歷史學系,1030,249,117,132,24,36,29,27,28,24,29,28,0,0,0,0,0,0,9,15
哲學系,1040,184,85,99,26,21,24,22,20,17,18,13,0,0,0,0,0,0,12,11
人類學系,1050,185,68,117,17,28,10,33,15,23,16,19,0,0,0,0,0,0,10,14
圖書資訊學系,1060,211,60,151,36,16,29,18,37,12,10,36,0,0,0,0,0,0,4,13
日本語文學系,1070,261,77,184,16,44,15,39,18,40,15,40,0,0,0,0,0,0,13,21
戲劇學系,1090,159,70,89,24,15,18,15,11,17,19,17,0,0,0,0,0,0,10,13
理學院,2000,1485,1008,477,104,230,115,239,115,237,106,221,0,0,0,0,0,0,81,37
數學系,2010,192,172,20,46,2,39,5,40,6,33,6,0,0,0,0,0,0,14,1
物理學系,2020,245,283,38,53,9,67,8,55,7,54,8,0,0,0,0,0,0,16,6
化學系,2030,275,185,90,37,23,44,22,45,23,47,20,0,0,0,0,0,0,12,2
地質科學系,2040,137,86,51,20,16,23,13,22,11,16,9,0,0,0,0,0,0,5,2
心理學系,2070,298,100,198,40,17,20,43,27,47,25,48,0,0,0,0,0,0,11,20
地理環境資源學系,2080,146,108,38,7,28,25,12,22,7,23,8,0,0,0,0,0,0,10,4
大氣科學系,2090,154,112,42,29,7,21,12,26,13,23,8,0,0,0,0,0,0,13,2
社會科學院,3000,1790,844,946,225,171,199,226,198,213,194,204,0,0,0,0,0,0,82,78
政治學系政治理論組,3021,213,104,109,25,22,20,27,25,22,30,25,0,0,0,0,0,0,7,10
政治學系國際關係組,3022,284,113,171,21,44,20,41,24,39,31,33,0,0,0,0,0,0,17,14
政治學系公共行政組,3023,219,86,133,30,19,21,43,23,21,16,31,0,0,0,0,0,0,7,8
經濟學系,3030,648,387,261,75,62,99,55,92,62,88,61,0,0,0,0,0,0,33,21
社會學系,3050,221,78,143,34,18,19,29,15,38,16,29,0,0,0,0,0,0,10,13
社會工作學系,3100,205,76,129,16,30,20,31,19,31,13,25,0,0,0,0,0,0,8,12
醫學院,4000,2102,1160,942,206,211,193,185,194,176,214,150,162,94,151,85,1,0,40,40
醫學系,4010,876,638,238,45,95,106,43,94,47,113,24,107,40,108,33,1,0,15,5
牙醫學系,4020,214,135,79,21,14,24,10,24,10,21,12,19,9,20,21,0,0,6,3
藥學系,4030,283,139,144,24,22,17,27,23,26,31,18,22,25,20,25,0,0,2,1
醫學檢驗暨生物技術學系,4040,162,54,108,16,28,7,27,15,25,14,20,0,0,0,0,0,0,2,8
護理學系,4060,171,52,119,12,29,15,23,4,28,12,28,0,0,0,0,0,0,9,11
物理治療學系,4080,189,92,97,23,19,19,14,21,21,18,20,14,19,1,0,0,0,0,0
物理治療學系,4081,11,4,7,0,0,0,0,0,0,0,0,3,6,1,0,0,0,1,0
職能治療學系,4090,141,35,106,29,12,23,3,12,18,5,28,0,0,0,0,0,0,3,8
學士後護理學系,4120,55,11,44,21,7,18,2,1,1,0,0,0,0,0,0,0,0,1,4
工學院,5000,2067,1574,493,416,121,381,126,376,130,340,98,0,0,0,0,0,0,61,18
土木工程學系,5010,455,336,119,82,28,75,26,91,36,72,22,0,0,0,0,0,0,16,6
機械工程學系,5020,494,435,59,128,26,119,30,111,37,120,24,0,0,0,0,0,0,16,6
化學工程學系,5040,442,336,106,90,18,92,26,79,28,65,30,0,0,0,0,0,0,10,4
